Geneid	RNA_1196Y_1	RNA_1196Y_2	RNA_1199Y_1	RNA_1199Y_2	1196Y_1	1196Y_2	1199Y_1	1199Y_2
Os01g0114600	0	7	133	237	0	1	0	0
Os01g0114700	5	4	58	47	0	0	0	0
Os01g0114800	2	5	27	21	0	0	0	0
Os01g0114900	0	0	0	0	0	0	0	0
Os01g0115100	375	313	296	257	36	48	48	24
Os01g0115300	221	243	162	140	0	0	0	0
Os01g0115200	0	0	0	0	0	0	0	0
Os01g0115500	0	7	2	4	0	0	2	0
Os01g0115566	9	51	17	14	51	0	4	0
Os01g0115600	49	125	370	228	31	35	205	504
Os01g0115700	8	11	15	12	0	0	0	0
Os01g0115725	0	0	0	0	0	0	0	0
Os01g0115750	200	199	72	87	29	48	101	1
Os01g0115800	27	28	16	15	0	0	0	2
Os01g0115950	0	0	0	0	0	0	0	0
Os01g0116100	16	34	3	9	0	0	0	0
Os01g0115900	0	0	0	0	0	0	0	0
Os01g0116000	3	0	1	0	0	0	0	0
Os01g0116101	0	0	0	0	0	0	0	0
Os01g0116200	0	0	1	0	0	0	0	0
Os01g0116250	0	0	0	0	0	0	0	0
Os01g0116300	31	31	20	35	2	0	16	52
Os01g0116400	73	74	24	18	7	0	14	0
Os01g0116650	0	0	0	0	0	0	0	0
Os01g0116900	1114	1429	818	518	79	42	21	42
Os01g0116600	0	0	0	0	0	0	0	0
Os01g0116800	0	0	0	0	0	0	0	0
Os01g0116901	0	0	0	0	0	0	0	0
Os01g0117000	3	0	1	7	0	0	0	0
Os01g0117025	0	0	0	0	0	0	0	0
Os01g0117100	435	475	293	265	33	61	22	46
Os01g0117200	1421	1598	942	288	317	308	446	308
Os01g0117266	62	86	38	8	0	0	0	0
Os01g0117300	117	135	47	13	0	0	6	0
Os01g0117400	8	1	6	4	0	0	0	0
Os01g0117450	58	52	56	26	28	38	8	1
Os01g0117500	53	76	61	18	19	0	6	0
Os01g0117600	46	56	20	26	0	9	0	0
